cgid,chr,pos,strand,Type,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group
cg00106499,chr7,44163141,+,I,chr7:44162850-44163720,Island,POLD2;POLD2;POLD2;POLD2,NM_006230;NM_001127218;NM_006230;NM_001127218,1stExon;1stExon;5'UTR;5'UTR
cg00108277,chr3,49840710,-,I,chr3:49840103-49841191,Island,C3orf54;C3orf54,NM_203370;NM_203370,1stExon;5'UTR
cg00111893,chr6,109103695,-,I,,OpenSea,,,
cg00116412,chr15,50474597,+,I,chr15:50474322-50475186,Island,SLC27A2;SLC27A2;SLC27A2;SLC27A2,NM_003645;NM_003645;NM_001159629;NM_001159629,5'UTR;1stExon;5'UTR;1stExon
cg00118468,chr1,205196936,+,I,chr1:205196791-205197252,Island,TMCC2,NM_014858,TSS200
cg00131372,chr5,148651363,-,I,chr5:148650920-148651772,Island,AFAP1L1;AFAP1L1,NM_152406;NM_001146337,TSS200;TSS200
cg00143321,chr6,34008430,+,I,,OpenSea,GRM4,NM_000841,Body
cg00145489,chr18,11980690,+,I,chr18:11980483-11982142,Island,IMPA2,NM_014214,TSS1500
cg00145838,chr17,73729676,-,I,chr17:73726238-73726526,S_Shelf,ITGB4;ITGB4;ITGB4,NM_001005731;NM_001005619;NM_000213,Body;Body;Body
cg00146096,chr11,22647309,-,I,chr11:22646706-22647441,Island,FANCF,NM_022725,1stExon
cg00153856,chr1,182584341,+,I,chr1:182584177-182584545,Island,,,
cg00157855,chr7,35734423,-,I,chr7:35733995-35734979,Island,HERPUD2;HERPUD2,NM_022373;NM_022373,1stExon;5'UTR
cg00167710,chr3,178789438,+,I,chr3:178789305-178789827,Island,ZMAT3;ZMAT3;ZMAT3,NM_152240;NM_022470;NM_022470,5'UTR;5'UTR;1stExon
cg00172330,chr1,28052294,+,I,chr1:28052145-28053002,Island,FAM76A;FAM76A;FAM76A;FAM76A;FAM76A,NM_152660;NM_001143914;NM_001143912;NM_001143915;NM_001143913,TSS200;TSS200;TSS200;TSS200;TSS200
cg00179532,chr17,79684775,-,I,chr17:79682525-79682767,S_Shelf,SLC25A10,NM_012140,Body
cg00184884,chr22,31892343,+,II,chr22:31892036-31893097,Island,SFI1;SFI1;SFI1;SFI1,NM_001007467;NM_001007467;NM_014775;NM_014775,5'UTR;1stExon;1stExon;5'UTR
cg00205198,chr16,21566289,-,I,,OpenSea,,,
cg00220517,chr2,25563613,-,I,chr2:25563309-25563661,Island,DNMT3A;DNMT3A;DNMT3A,NM_022552;NM_175630;NM_175629,5'UTR;5'UTR;5'UTR
cg00220952,chr17,75084623,+,I,chr17:75084622-75085085,Island,SCARNA16;C17orf86,NR_003013;NR_027058,TSS1500;TSS200
cg00229039,chr17,71308211,+,I,chr17:71306975-71308682,Island,CDC42EP4,NM_012121,TSS200
cg00229257,chr6,25279741,+,I,chr6:25279131-25279890,Island,LRRC16A;LRRC16A,NM_017640;NM_017640,5'UTR;1stExon
cg00243166,chr7,155437171,-,I,chr7:155436673-155437817,Island,RBM33,NM_053043,TSS200
cg00244654,chr2,9983430,-,I,chr2:9983263-9983901,Island,TAF1B,NM_005680,TSS200
cg00252701,chr1,193091045,-,I,chr1:193090728-193091224,Island,CDC73,NM_024529,TSS200
cg00254480,chr22,32058214,+,I,chr22:32057922-32058323,Island,,,
cg00255853,chr6,33176439,-,I,chr6:33175561-33176387,S_Shore,RING1,NM_002931,5'UTR
cg00261430,chr2,54950462,-,I,chr2:54950394-54952488,Island,,,
cg00264142,chr5,145562434,-,I,,OpenSea,LARS,NM_020117,TSS200
cg00266715,chr17,14204362,-,I,chr17:14204168-14207702,Island,HS3ST3B1,NM_006041,TSS200
cg00267373,chr16,2024786,+,I,chr16:2024779-2025083,Island,TBL3,NM_006453,Body
cg00274365,chr16,1550495,-,I,chr16:1550144-1550829,Island,TELO2,NM_016111,Body
cg00285026,chr16,21169867,-,I,chr16:21169810-21170278,Island,TMEM159;DNAH3,NM_020422;NM_017539,TSS200;Body
cg00290605,chr22,32366707,+,I,chr22:32366492-32367061,Island,,,
cg00298153,chr21,45553170,-,I,chr21:45553021-45554037,Island,C21orf33;C21orf33,NM_004649;NM_198155,TSS1500;TSS1500
cg00301601,chr21,30397148,-,I,chr21:30396848-30397410,Island,USP16;USP16;USP16,NM_006447;NM_001001992;NM_001032410,5'UTR;5'UTR;5'UTR
cg00302521,chr1,152487909,-,I,chr1:152487978-152488270,N_Shore,CRCT1,NM_019060,Body
cg00308133,chr19,1401118,+,I,chr19:1401092-1401784,Island,GAMT;GAMT,NM_000156;NM_138924,Body;Body
cg00309462,chr1,1840482,+,I,chr1:1839958-1840601,Island,,,
cg00322942,chr4,84377076,-,I,chr4:84376666-84377237,Island,HELQ;MRPS18C,NM_133636;NM_016067,TSS200;TSS200
cg00325599,chr3,36986513,+,I,chr3:36985540-36987041,Island,TRANK1;TRANK1,NM_014831;NM_014831,1stExon;5'UTR
cg00327537,chr2,74406064,-,I,chr2:74405352-74406164,Island,MOBKL1B,NM_018221,TSS200
cg00328593,chr7,14030807,-,I,chr7:14030965-14031213,N_Shore,ETV1;ETV1;ETV1;ETV1;ETV1,NM_001163148;NM_001163149;NM_004956;NM_001163149;NM_001163147,5'UTR;1stExon;TSS1500;5'UTR;TSS1500
cg00328972,chr1,1710237,+,I,chr1:1709394-1710582,Island,NADK,NM_023018,TSS1500
cg00334257,chr16,69419950,+,I,chr16:69419316-69420086,Island,TERF2,NM_005652,TSS200
cg00349723,chr17,36831276,+,I,chr17:36829692-36831500,Island,C17orf96,NM_001130677,TSS200
cg00353411,chr19,1490432,+,I,chr19:1490134-1491806,Island,REEP6;PCSK4,NM_138393;NM_017573,TSS1500;TSS200
cg00357368,chr1,84972303,+,I,chr1:84971344-84972491,Island,GNG5;SPATA1,NM_005274;NM_001081472,TSS200;5'UTR
cg00372354,chr2,97304187,+,I,chr2:97303912-97304387,Island,KIAA1310;KIAA1310,NM_017991;NM_001115016,TSS200;TSS200
cg00373131,chr1,93646396,-,I,chr1:93645432-93646471,Island,CCDC18;TMED5;TMED5;TMED5,NM_206886;NM_001167830;NR_030761;NM_016040,1stExon;TSS200;TSS200;TSS200
cg00374596,chr11,67169070,+,I,chr11:67168616-67169098,Island,PPP1CA;PPP1CA;PPP1CA,NM_001008709;NM_206873;NM_002708,Body;Body;Body
cg00376019,chr3,52931306,+,I,chr3:52931279-52931840,Island,TMEM110,NM_198563,1stExon
cg00389036,chr6,170409598,+,I,,OpenSea,,,
cg00390596,chr2,113300193,-,I,chr2:113299403-113300284,Island,POLR1B;POLR1B,NM_001137604;NM_019014,1stExon;1stExon
cg00394793,chr15,70391374,+,I,chr15:70387929-70393206,Island,TLE3;TLE3;TLE3,NM_020908;NM_001105192;NM_005078,TSS1500;TSS1500;TSS1500
cg00396407,chr1,226374726,-,I,chr1:226374035-226374760,Island,ACBD3,NM_022735,TSS1500
cg00405843,chr7,128828575,-,I,chr7:128828333-128829366,Island,SMO,NM_005631,TSS200
cg00413870,chr7,44039604,+,I,,OpenSea,SPDYE1;POLR2J4,NM_175064;NR_003655,TSS1500;Body
cg00426182,chr6,28072559,-,I,chr6:28072464-28072926,Island,,,
cg00428944,chr8,101963525,+,I,chr8:101962644-101965427,Island,YWHAZ;YWHAZ;YWHAZ;YWHAZ;YWHAZ;YWHAZ;YWHAZ;YWHAZ,NM_001135700;NM_001135701;NM_001135701;NM_003406;NM_145690;NM_001135700;NM_001135702;NM_001135699,1stExon;1stExon;5'UTR;5'UTR;5'UTR;5'UTR;TSS1500;5'UTR
cg00429081,chr19,10764351,+,I,chr19:10764244-10765807,Island,ILF3;ILF3;ILF3;ILF3;ILF3;LOC147727,NM_017620;NM_004516;NM_001137673;NM_153464;NM_012218;NR_024333,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;Body
cg00435469,chr11,1495117,+,I,chr11:1491197-1491525,S_Shelf,HCCA2,NM_053005,Body
cg00444282,chr11,63448935,+,I,chr11:63448704-63449386,Island,RTN3;RTN3;RTN3;RTN3;RTN3;RTN3;RTN3;RTN3,NM_201430;NM_006054;NM_201428;NM_201429;NM_006054;NM_201430;NM_201429;NM_201428,1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;1stExon;5'UTR
cg00448482,chr18,13726497,+,I,chr18:13725979-13727370,Island,C18orf19;C18orf19;RNMT;C18orf19;C18orf19,NM_152352;NM_001098801;NM_003799;NM_152352;NM_001098801,5'UTR;1stExon;TSS1500;1stExon;5'UTR
cg00454932,chr1,171750547,+,I,chr1:171750399-171750934,Island,METTL13;METTL13;METTL13,NM_001007239;NM_015935;NM_014955,TSS1500;TSS1500;TSS1500
cg00460260,chr4,111119726,+,I,chr4:111119187-111120084,Island,ELOVL6;ELOVL6;ELOVL6;ELOVL6,NM_024090;NM_001130721;NM_024090;NM_001130721,1stExon;5'UTR;5'UTR;1stExon
cg00460684,chr17,55333738,+,I,chr17:55333068-55334245,Island,MSI2;MSI2,NM_170721;NM_138962,TSS1500;TSS200
cg00461005,chr10,35416363,+,I,chr10:35415788-35416685,Island,CREM;CREM;CREM;CREM;CREM;CREM,NM_183013;NM_182850;NM_182853;NM_183060;NM_001881;NM_181571,5'UTR;5'UTR;5'UTR;TSS200;5'UTR;TSS200
cg00463885,chr1,52521894,-,I,chr1:52521780-52522296,Island,BTF3L4;TXNDC12;BTF3L4;BTF3L4;BTF3L4;BTF3L4,NM_001136497;NM_015913;NM_152265;NR_024350;NM_001136497;NM_152265,1stExon;TSS1500;1stExon;Body;5'UTR;5'UTR
cg00467202,chr16,30759573,+,I,chr16:30759403-30760320,Island,PHKG2,NM_000294,TSS200
cg00468144,chr1,113008976,-,I,chr1:113008844-113009154,Island,WNT2B,NM_004185,TSS1500
cg00469635,chr11,73882471,+,I,chr11:73881899-73882572,Island,PPME1;C2CD3,NM_016147;NM_015531,1stExon;TSS1500
cg00469995,chr16,702586,-,I,chr16:701828-702037,S_Shore,WDR90,NM_145294,Body
cg00470794,chr12,133464685,-,I,chr12:133463807-133464858,Island,CHFR;CHFR;CHFR;CHFR;CHFR,NM_001161344;NM_018223;NM_001161345;NM_001161346;NM_001161347,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg00480749,chr6,143832855,+,I,chr6:143832389-143832943,Island,FUCA2;FUCA2,NM_032020;NM_032020,5'UTR;1stExon
cg00488260,chr11,107461894,+,I,chr11:107461743-107462648,Island,ELMOD1;ELMOD1;ELMOD1;LOC643923;ELMOD1,NM_001130037;NM_001130037;NM_018712;NR_028328;NM_018712,1stExon;5'UTR;1stExon;TSS1500;5'UTR
cg00507354,chr4,76598817,-,I,chr4:76597635-76598920,Island,G3BP2;G3BP2;G3BP2,NM_203504;NM_012297;NM_203505,TSS200;TSS1500;TSS200
cg00509053,chr12,46120609,-,II,chr12:46120726-46124104,N_Shore,LOC400027,NR_028408,Body
cg00512709,chr22,42915904,+,I,chr22:42915512-42915999,Island,RRP7A,NM_015703,TSS200
cg00520393,chr6,7313623,+,I,chr6:7312811-7313656,Island,SSR1,NM_003144,TSS200
cg00522034,chr3,105587721,+,I,chr3:105587279-105588218,Island,CBLB;CBLB,NM_170662;NM_170662,1stExon;5'UTR
cg00523812,chr7,130081019,-,I,chr7:130080527-130081067,Island,TSGA14,NM_018718,TSS200
cg00534133,chr5,68485420,-,I,chr5:68485215-68485577,Island,CENPH;CENPH,NM_022909;NM_022909,1stExon;5'UTR
cg00534240,chr1,76540148,+,I,chr1:76540147-76540653,Island,ST6GALNAC3;ST6GALNAC3,NM_152996;NM_001160011,TSS1500;TSS1500
cg00537387,chr6,31939865,+,I,chr6:31939730-31940559,Island,DOM3Z;STK19;DOM3Z;STK19;STK19,NM_005510;NM_004197;NM_005510;NM_032454;NR_026717,5'UTR;1stExon;1stExon;1stExon;Body
cg00543196,chr1,147142741,+,I,chr1:147141842-147142918,Island,ACP6,NM_016361,TSS200
cg00545796,chr16,1573581,-,I,chr16:1574515-1574986,N_Shore,IFT140,NM_014714,Body
cg00546594,chr21,35287829,-,I,chr21:35287803-35288208,Island,ATP5O,NM_001697,Body
cg00550558,chr8,54755579,+,I,chr8:54755576-54756109,Island,ATP6V1H;ATP6V1H;ATP6V1H,NM_213619;NM_213620;NM_015941,5'UTR;TSS200;5'UTR
cg00563793,chr11,65837595,-,I,chr11:65837254-65838649,Island,PACS1,NM_018026,TSS1500
cg00564141,chr13,103244664,+,I,,OpenSea,,,
cg00575088,chr19,17971045,+,I,chr19:17970454-17971123,Island,RPL18AP3;RPL18A,NR_001593;NM_000980,Body;Body
cg00576301,chr13,36920965,-,I,chr13:36919737-36921004,Island,SPG20;SPG20;SPG20;SPG20,NM_015087;NM_001142296;NM_001142295;NM_001142294,TSS1500;TSS1500;TSS200;5'UTR
cg00589578,chr11,85565966,-,I,chr11:85565908-85566451,Island,CCDC83,NM_173556,TSS200
cg00605859,chr15,73089234,-,I,chr15:73089132-73089545,Island,,,
cg00622682,chr22,32870857,-,I,chr22:32870550-32871364,Island,FBXO7;FBXO7;FBXO7,NM_012179;NM_012179;NM_001033024,5'UTR;1stExon;TSS1500
cg00626438,chr11,110167591,-,I,chr11:110166564-110167759,Island,RDX,NM_002906,TSS200
cg00629244,chr5,142783379,-,I,chr5:142782071-142785071,Island,NR3C1;NR3C1;NR3C1;NR3C1;NR3C1;NR3C1;NR3C1,NM_001024094;NM_001018076;NM_001018075;NM_001020825;NM_001018077;NM_000176;NM_001018074,TSS200;5'UTR;5'UTR;TSS200;5'UTR;TSS200;5'UTR
cg00633933,chr22,50280082,-,I,chr22:50279568-50280376,Island,ZBED4,NM_014838,Body
cg00640315,chr22,19644159,+,I,chr22:19644036-19644240,Island,,,
cg00641632,chr17,42401901,+,I,chr17:42401501-42402427,Island,SLC25A39;SLC25A39,NM_001143780;NM_016016,5'UTR;5'UTR
cg00645897,chr1,46713442,-,I,,OpenSea,RAD54L;RAD54L;RAD54L,NM_003579;NM_001142548;NM_003579,1stExon;5'UTR;5'UTR
cg00657058,chr10,93683597,-,I,chr10:93683430-93683839,Island,BTAF1,NM_003972,TSS200
cg00667000,chr1,28052784,-,I,chr1:28052145-28053002,Island,FAM76A;FAM76A;FAM76A;FAM76A;FAM76A,NM_001143915;NM_152660;NM_001143912;NM_001143913;NM_001143914,Body;Body;Body;Body;Body
cg00668442,chr16,2318234,-,I,chr16:2317445-2319000,Island,RNPS1;RNPS1,NM_080594;NM_006711,TSS200;TSS1500
cg00668525,chr1,91966377,-,I,chr1:91966263-91966999,Island,CDC7;CDC7;CDC7,NM_001134420;NM_003503;NM_001134419,TSS1500;TSS200;TSS200
cg00671759,chr17,79479205,+,I,chr17:79478235-79482426,Island,ACTG1,NM_001614,Body
cg00682458,chr6,43139370,+,I,chr6:43138711-43140292,Island,SRF;SRF,NM_003131;NM_003131,5'UTR;1stExon
cg00682653,chr14,68141442,-,I,chr14:68140972-68141882,Island,VTI1B;VTI1B,NM_006370;NM_006370,1stExon;5'UTR
cg00686451,chr17,43361331,+,I,,OpenSea,MAP3K14,NM_003954,Body
cg00687095,chr1,176176785,+,I,chr1:176175711-176176811,Island,RFWD2;RFWD2,NM_001001740;NM_022457,TSS1500;TSS1500
cg00691078,chr17,30669164,+,I,chr17:30669000-30669287,Island,C17orf75;C17orf75,NM_022344;NM_022344,1stExon;5'UTR
cg00702030,chr12,105629798,-,I,chr12:105629690-105630099,Island,APPL2;APPL2,NM_018171;NM_018171,5'UTR;1stExon
cg00704012,chr12,49463725,+,I,chr12:49463441-49463989,Island,RHEBL1;RHEBL1,NM_144593;NM_144593,1stExon;5'UTR
cg00707739,chr3,23848132,-,I,chr3:23847871-23848633,Island,UBE2E1;UBE2E1,NM_003341;NM_182666,5'UTR;5'UTR
cg00710249,chr16,2144849,+,I,chr16:2139803-2142170,S_Shelf,PKD1;PKD1,NM_001009944;NM_000296,Body;Body
cg00710617,chr20,50808543,+,I,chr20:50807798-50808825,Island,ZFP64;ZFP64;ZFP64;ZFP64,NM_018197;NM_022088;NM_199427;NM_199426,TSS200;TSS200;TSS200;TSS200
cg00711596,chr19,2115281,-,I,chr19:2115261-2115783,Island,AP3D1;AP3D1,NM_001077523;NM_003938,Body;Body
cg00711734,chr21,44299692,+,I,chr21:44299111-44299808,Island,WDR4;WDR4,NM_033661;NM_018669,TSS200;TSS200
cg00721125,chr16,87417448,+,I,chr16:87416583-87418238,Island,FBXO31;FBXO31,NR_024568;NM_024735,Body;TSS200
cg00724035,chr2,74375213,+,I,chr2:74374838-74375257,Island,BOLA3;BOLA3,NM_212552;NM_001035505,TSS200;TSS200
cg00726174,chr2,170218350,-,I,chr2:170218314-170219203,Island,LRP2,NM_004525,Body
cg00731404,chr13,28024444,+,I,chr13:28024165-28025278,Island,MTIF3;MTIF3;MTIF3;MTIF3,NM_001166261;NM_001166263;NM_001166262;NM_152912,TSS200;5'UTR;TSS200;5'UTR
cg00741600,chr8,42753110,+,I,chr8:42751212-42753132,Island,HOOK3;RNF170;RNF170;RNF170;RNF170;RNF170;RNF170,NM_032410;NR_027669;NM_001160224;NM_001160223;NM_030954;NR_027668;NM_001160225,Body;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg00742603,chr16,90086301,-,I,chr16:90085109-90086419,Island,DBNDD1,NM_001042610,TSS1500
cg00744920,chr7,75796215,-,I,chr7:75795878-75796446,Island,,,
cg00756058,chr13,96296844,-,I,chr13:96296143-96297059,Island,DZIP1;DZIP1;DZIP1;DZIP1,NM_198968;NM_014934;NM_014934;NM_198968,5'UTR;5'UTR;1stExon;1stExon
cg00756215,chr1,55230057,+,I,chr1:55229992-55230369,Island,PARS2,NM_152268,5'UTR
cg00757182,chr19,58011393,-,I,chr19:58011124-58011743,Island,ZNF773;ZNF773,NM_198542;NM_198542,5'UTR;1stExon
cg00758584,chr1,40254741,-,I,chr1:40253683-40255172,Island,BMP8B,NM_001720,TSS1500
cg00761861,chr14,68141669,-,I,chr14:68140972-68141882,Island,VTI1B,NM_006370,TSS200
cg00762711,chr16,31191119,+,I,chr16:31190820-31192225,Island,FUS;FUS;FUS;FUS,NM_001170634;NR_028388;NM_001170937;NM_004960,TSS1500;TSS1500;TSS1500;TSS1500
cg00770871,chr12,2999840,+,I,chr12:2999665-3000638,Island,TULP3;TULP3,NM_003324;NM_001160408,TSS200;TSS200
cg00772840,chr19,15490660,+,I,chr19:15489856-15491258,Island,AKAP8,NM_005858,TSS200
cg00773459,chr1,84464645,+,I,chr1:84464223-84465232,Island,TTLL7;TTLL7,NM_024686;NM_024686,1stExon;5'UTR
cg00773818,chr12,52426922,+,I,chr12:52426738-52427186,Island,,,
cg00775279,chr6,86303732,+,I,chr6:86303113-86304061,Island,SNX14;SNX14,NM_020468;NM_153816,TSS200;TSS200
cg00777209,chr6,30640540,+,I,chr6:30640431-30640853,Island,DHX16;DHX16,NM_003587;NM_001164239,1stExon;Body
cg00790651,chr3,49056096,-,I,chr3:49055214-49056317,Island,DALRD3;DALRD3,NM_001009996;NM_018114,TSS200;5'UTR
cg00792783,chr2,198669748,-,I,chr2:198669079-198670154,Island,PLCL1;PLCL1,NM_006226;NM_006226,5'UTR;1stExon
cg00793280,chr2,10260421,-,I,chr2:10260279-10260931,Island,,,
cg00795626,chr6,31632915,+,I,chr6:31632815-31634093,Island,BAT4;BAT4;CSNK2B,NM_033177;NM_033177;NM_001320,5'UTR;1stExon;TSS1500
cg00797602,chr14,39901757,-,I,chr14:39900676-39902206,Island,FBXO33,NM_203301,TSS200
cg00811051,chr4,100868099,-,I,chr4:100867328-100868162,Island,DNAJB14,NM_001031723,TSS1500
cg00814065,chr16,2265398,+,I,chr16:2263912-2265428,Island,PGP,NM_001042371,TSS1500
cg00819696,chr12,56843016,+,I,chr12:56842846-56843255,Island,TIMELESS,NM_003920,5'UTR
cg00822989,chr7,1947452,-,I,chr7:1950279-1950482,N_Shelf,MAD1L1;MAD1L1;MAD1L1,NM_003550;NM_001013837;NM_001013836,Body;Body;Body
cg00829688,chr2,176032553,+,I,chr2:176032385-176033275,Island,ATF2;MIR933,NM_001880;NR_030630,5'UTR;TSS200
cg00837838,chr15,45003774,-,I,chr15:45003460-45004345,Island,B2M,NM_004048,1stExon
cg00839802,chr6,119671238,-,I,chr6:119669589-119671424,Island,MAN1A1,NM_005907,TSS1500
cg00847043,chr14,65381157,-,I,chr14:65381075-65381382,Island,CHURC1;CHURC1,NM_145165;NM_145165,5'UTR;1stExon
cg00856002,chr1,28198968,-,I,chr1:28199031-28199257,N_Shore,C1orf38;C1orf38;C1orf38,NM_001105556;NM_001039477;NM_004848,TSS200;TSS200;TSS200
cg00861411,chr19,2115611,+,I,chr19:2115261-2115783,Island,AP3D1;AP3D1,NM_001077523;NM_003938,Body;Body
cg00866976,chr16,56224782,+,I,chr16:56224731-56224980,Island,GNAO1;GNAO1;LOC283856,NM_020988;NM_138736;NR_027078,TSS1500;TSS1500;Body
cg00871917,chr3,53164423,+,I,chr3:53164206-53164698,Island,RFT1;RFT1,NM_052859;NM_052859,1stExon;5'UTR
cg00872414,chr2,23913322,+,I,chr2:23913308-23913569,Island,KLHL29,NM_052920,Body
cg00873473,chr16,734532,+,I,chr16:729438-735815,Island,JMJD8,NM_001005920,TSS200
cg00903010,chr14,23236465,+,I,chr14:23235774-23236578,Island,OXA1L,NM_005015,Body
cg00906088,chr3,126423065,-,I,chr3:126422888-126423609,Island,CHCHD6,NM_032343,TSS200
cg00914777,chr14,93651123,-,I,chr14:93650745-93651652,Island,MOAP1;C14orf109;C14orf109,NM_022151;NM_001098621;NM_015676,5'UTR;TSS1500;TSS200
cg00924357,chr7,131012552,-,I,chr7:131012460-131013190,Island,MKLN1;MKLN1,NM_001145354;NM_013255,Body;TSS200
cg00926874,chr1,226309722,+,I,chr1:226308959-226310476,Island,,,
cg00930890,chr17,34948097,+,II,chr17:34948053-34948902,Island,DHRS11,NM_024308,TSS200
cg00936141,chr2,17935227,-,I,chr2:17934555-17935902,Island,SMC6;GEN1;GEN1;GEN1;SMC6,NM_001142286;NM_001130009;NM_182625;NM_182625;NM_024624,TSS200;TSS200;5'UTR;1stExon;TSS200
cg00946507,chr17,73627743,-,I,chr17:73627542-73627824,Island,RECQL5,NM_004259,Body
cg00958676,chr8,9911641,+,I,chr8:9911629-9912633,Island,MSRA;MSRA,NM_012331;NM_001135670,TSS200;TSS200
cg00963305,chr16,58059520,-,I,chr16:58059380-58061477,Island,MMP15;MMP15,NM_002428;NM_002428,5'UTR;1stExon
cg00964710,chr16,14726998,+,I,chr16:14726516-14727366,Island,BFAR,NM_016561,5'UTR
cg00971834,chr10,71561574,-,I,chr10:71561302-71562876,Island,COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1,NM_080811;NM_080804;NM_080812;NM_080806;NM_080814;NM_080808;NM_080803;NM_080799;NM_080800;NM_001130103;NM_080805;NM_080815;NM_080813;NM_080809;NM_080807;NM_080810;NM_080798;NM_080801;NM_080802;NM_005203,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200
cg00971933,chr20,42839305,+,I,chr20:42839134-42839883,Island,C20orf111,NM_016470,5'UTR
cg00974466,chr7,128695161,-,II,chr7:128694513-128695357,Island,LOC286016;TNPO3;TNPO3,NR_002187;NM_012470;NM_012470,TSS200;1stExon;5'UTR
cg00990635,chr19,19745667,+,I,chr19:19745475-19745729,Island,GMIP,NM_016573,Body
cg00991297,chr10,33247545,+,I,chr10:33246271-33247707,Island,ITGB1;ITGB1,NM_002211;NM_133376,TSS1500;TSS1500
