"tissue","cgid","median","mean","var","sd","chr","pos","strand","Type","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group"
"adipose","cg13197283",0.567,0.594,0.018,0.134,"chr7",152433782,"-","I","","OpenSea","","",""
"adipose","cg13588054",0.053,0.077,0.007,0.083,"chr7",126892578,"+","I","chr7:126891300-126894205","Island","GRM8","NM_001127323","TSS200"
"adipose","cg13720395",0.805,0.78,0.009,0.092,"chr7",75957902,"+","I","chr7:75958865-75959074","N_Shore","YWHAG","NM_012479","3'UTR"
"adipose","cg18733230",0.66,0.657,0.018,0.135,"chr7",4763182,"+","I","chr7:4764684-4765252","N_Shore","FOXK1","NM_001037165","Body"
"adipose","cg19033943",0.858,0.855,0.007,0.081,"chr7",1140782,"+","I","chr7:1141229-1141545","N_Shore","C7orf50;C7orf50;C7orf50","NM_001134395;NM_032350;NM_001134396","Body;Body;Body"
"adipose","cg22100274",0.691,0.697,0.011,0.104,"chr7",596062,"+","I","chr7:596051-596371","Island","PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B","NM_001164759;NM_001164762;NM_001164758;NM_001164760;NM_001164761;NM_002735","Body;Body;Body;Body;Body;Body"
"adipose","cg22202558",0.274,0.28,0.006,0.08,"chr7",101500303,"+","I","","OpenSea","CUX1;CUX1;CUX1","NM_181500;NM_181552;NM_001913","Body;Body;Body"
"adipose","cg22415591",0.442,0.416,0.009,0.094,"chr7",2282346,"-","I","chr7:2281362-2282105","S_Shore","FTSJ2;NUDT1;NUDT1;NUDT1;NUDT1;NUDT1;NUDT1;NUDT1","NM_013393;NM_198952;NM_002452;NM_198954;NM_198949;NM_198950;NM_198948;NM_198953","TSS1500;5'UTR;5'UTR;TSS200;5'UTR;5'UTR;5'UTR;TSS200"
"adipose","cg25142340",0.22,0.212,0.007,0.085,"chr7",155299624,"-","I","chr7:155302253-155303158","N_Shelf","CNPY1","NM_001103176","Body"
"adipose","cg27092935",0.618,0.632,0.009,0.095,"chr7",100744067,"-","I","","OpenSea","","",""
"adipose","cg02694884",0.741,0.736,0.011,0.103,"chr8",99411691,"-","I","","OpenSea","","",""
"adipose","cg04597393",0.311,0.328,0.018,0.134,"chr8",142276533,"+","I","","OpenSea","","",""
"adipose","cg05066959",0.785,0.766,0.013,0.112,"chr8",41519308,"-","I","","OpenSea","ANK1;ANK1;ANK1;ANK1;ANK1;ANK1;ANK1;MIR486;ANK1","NM_020476;NM_020478;NM_001142445;NM_020475;NM_020480;NM_020477;NM_001142446;NR_030161;NM_000037","Body;Body;Body;Body;Body;Body;Body;TSS1500;Body"
"adipose","cg07538339",0.258,0.268,0.007,0.085,"chr8",93107298,"-","I","","OpenSea","RUNX1T1;RUNX1T1","NM_175635;NM_175635","5'UTR;1stExon"
"adipose","cg11459266",0.712,0.712,0.012,0.107,"chr8",1183511,"-","I","chr8:1185092-1185445","N_Shore","","",""
"adipose","cg13347354",0.689,0.697,0.013,0.115,"chr8",42269559,"+","I","chr8:42268436-42268759","S_Shore","","",""
"adipose","cg23164982",0.082,0.114,0.008,0.09,"chr8",65286329,"-","I","chr8:65286067-65286659","Island","","",""
"adipose","cg13826264",0.523,0.545,0.013,0.112,"chr9",125240147,"-","I","","OpenSea","OR1J1","NM_001004451","1stExon"
"adipose","cg14003627",0.744,0.74,0.008,0.092,"chr9",123204555,"+","I","","OpenSea","CDK5RAP2;CDK5RAP2","NM_001011649;NM_018249","Body;Body"
"adipose","cg14284797",0.554,0.567,0.01,0.099,"chr9",136545056,"+","I","","OpenSea","SARDH;SARDH","NM_001134707;NM_007101","Body;Body"
"adipose","cg14384303",0.716,0.714,0.009,0.095,"chr9",137186686,"-","I","","OpenSea","","",""
"adipose","cg14517743",0.342,0.341,0.008,0.087,"chr9",124889019,"-","I","chr9:124888949-124889382","Island","","",""
"adipose","cg14636575",0.708,0.702,0.011,0.105,"chr9",2241256,"-","I","chr9:2241337-2241659","N_Shore","","",""
"adipose","cg21215550",0.371,0.391,0.013,0.114,"chr9",969544,"-","I","chr9:969529-973276","Island","","",""
"adipose","cg01391063",0.631,0.628,0.012,0.111,"chr10",134645978,"+","I","","OpenSea","","",""
"adipose","cg03311684",0.318,0.339,0.017,0.13,"chr10",119293360,"+","I","chr10:119293917-119297675","N_Shore","EMX2OS","NR_002791","Body"
"adipose","cg03330490",0.219,0.228,0.007,0.083,"chr10",94452236,"+","I","chr10:94452200-94452428","Island","HHEX","NM_002729","Body"
"adipose","cg10595547",0.452,0.448,0.01,0.1,"chr10",119310911,"+","I","chr10:119311204-119312104","N_Shore","","",""
"adipose","cg12327866",0.603,0.601,0.021,0.145,"chr10",1939663,"+","I","","OpenSea","","",""
"adipose","cg13166642",0.466,0.475,0.013,0.115,"chr10",134645995,"+","I","","OpenSea","","",""
"adipose","cg14726769",0.134,0.153,0.006,0.08,"chr10",65224694,"+","I","chr10:65224870-65225887","N_Shore","JMJD1C;LOC84989","NM_032776;NR_027182","Body;TSS1500"
"adipose","cg17384647",0.298,0.303,0.008,0.09,"chr10",88717435,"+","I","","OpenSea","MMRN2;SNCG","NM_024756;NM_003087","TSS200;TSS1500"
"adipose","cg17504591",0.755,0.748,0.01,0.101,"chr10",133945918,"-","I","chr10:133948325-133948677","N_Shelf","JAKMIP3","NM_001105521","Body"
"adipose","cg23983136",0.686,0.684,0.019,0.138,"chr10",88768846,"+","I","chr10:88769434-88769657","N_Shore","AGAP11","NM_133447","Body"
"adipose","cg25946646",0.519,0.534,0.012,0.108,"chr10",88628344,"-","I","","OpenSea","BMPR1A","NM_004329","5'UTR"
"adipose","cg04672275",0.743,0.738,0.008,0.088,"chr11",3160193,"+","I","","OpenSea","OSBPL5;OSBPL5;OSBPL5","NM_020896;NM_001144063;NM_145638","5'UTR;5'UTR;5'UTR"
"adipose","cg05279137",0.575,0.571,0.009,0.094,"chr11",968423,"-","I","","OpenSea","AP2A2","NM_012305","Body"
"adipose","cg09774287",0.715,0.747,0.009,0.097,"chr11",59841290,"-","I","","OpenSea","","",""
"adipose","cg13052101",0.334,0.356,0.016,0.128,"chr11",68517529,"-","I","chr11:68517667-68518179","N_Shore","MTL5;MTL5","NM_001039656;NM_004923","Body;Body"
"adipose","cg13968557",0.753,0.764,0.008,0.088,"chr11",977965,"-","I","chr11:976949-977193","S_Shore","AP2A2","NM_012305","Body"
"adipose","cg17709804",0.223,0.233,0.007,0.084,"chr11",128555749,"+","I","","OpenSea","","",""
"adipose","cg24183324",0.235,0.25,0.007,0.083,"chr11",35440062,"+","I","chr11:35440375-35441882","N_Shore","SLC1A2","NM_004171","Body"
"adipose","cg00960772",0.742,0.744,0.008,0.087,"chr12",133127270,"-","I","chr12:133125659-133126011","S_Shore","FBRSL1","NM_001142641","Body"
"adipose","cg02581418",0.094,0.117,0.007,0.082,"chr12",56843315,"+","I","chr12:56842846-56843255","S_Shore","TIMELESS","NM_003920","TSS200"
"adipose","cg03923561",0.334,0.345,0.016,0.127,"chr12",54447220,"+","I","chr12:54447744-54448091","N_Shore","HOXC4;HOXC4","NM_014620;NM_153633","5'UTR;TSS1500"
"adipose","cg08711175",0.174,0.207,0.018,0.134,"chr12",57614182,"-","I","chr12:57609976-57611168","S_Shelf","NXPH4","NM_007224","Body"
"adipose","cg11064034",0.323,0.329,0.009,0.096,"chr12",114877421,"+","I","chr12:114878143-114879155","N_Shore","","",""
"adipose","cg12437821",0.227,0.247,0.012,0.111,"chr12",114852027,"-","I","chr12:114851957-114852360","Island","","",""
"adipose","cg13718418",0.327,0.329,0.009,0.093,"chr12",85672285,"-","I","chr12:85673878-85674700","N_Shore","","",""
"adipose","cg20249252",0.38,0.386,0.012,0.11,"chr12",114852308,"+","I","chr12:114851957-114852360","Island","","",""
"adipose","cg22747076",0.305,0.339,0.013,0.116,"chr12",54447873,"+","I","chr12:54447744-54448091","Island","HOXC4;HOXC4","NM_153633;NM_014620","1stExon;Body"
"adipose","cg23489434",0.239,0.24,0.007,0.086,"chr12",54500175,"+","I","chr12:54500127-54501158","Island","FLJ12825","NR_026655","Body"
"adipose","cg01973456",0.229,0.243,0.008,0.087,"chr13",114918702,"+","I","chr13:114914536-114914753","S_Shelf","","",""
"adipose","cg05644498",0.071,0.097,0.006,0.08,"chr13",37493547,"+","I","chr13:37493896-37494752","N_Shore","SMAD9;SMAD9","NM_001127217;NM_005905","5'UTR;5'UTR"
"adipose","cg06133910",0.567,0.569,0.01,0.099,"chr13",34185230,"-","I","","OpenSea","","",""
"adipose","cg08071719",0.75,0.755,0.008,0.089,"chr13",113650155,"+","I","chr13:113648343-113649601","S_Shore","MCF2L;MCF2L","NM_001112732;NM_024979","Body;Body"
"adipose","cg10527300",0.486,0.507,0.019,0.138,"chr13",110874326,"+","I","","OpenSea","COL4A1","NM_001845","Body"
"adipose","cg10627737",0.819,0.81,0.008,0.087,"chr13",111065189,"-","I","","OpenSea","COL4A2","NM_001846","Body"
"adipose","cg12778065",0.654,0.663,0.01,0.102,"chr13",110900693,"+","I","","OpenSea","COL4A1","NM_001845","Body"
"adipose","cg13252710",0.818,0.823,0.01,0.099,"chr13",20134915,"+","I","chr13:20135399-20136041","N_Shore","","",""
"adipose","cg15934607",0.829,0.827,0.007,0.084,"chr13",114802548,"-","I","chr13:114803616-114803852","N_Shore","RASA3","NM_007368","Body"
"adipose","cg22301418",0.533,0.559,0.012,0.11,"chr13",113514151,"-","I","","OpenSea","ATP11A;ATP11A","NM_015205;NM_032189","Body;Body"
"adipose","cg23101649",0.387,0.388,0.013,0.112,"chr13",107354601,"+","I","","OpenSea","","",""
"adipose","cg01149132",0.38,0.365,0.007,0.085,"chr14",68141218,"-","I","chr14:68140972-68141882","Island","VTI1B;VTI1B","NM_006370;NM_006370","1stExon;5'UTR"
"adipose","cg01574481",0.484,0.484,0.009,0.097,"chr14",24641852,"-","I","chr14:24641053-24642220","Island","REC8;REC8","NM_001048205;NM_005132","Body;Body"
"adipose","cg02325951",0.685,0.686,0.018,0.134,"chr14",89878619,"-","I","chr14:89882421-89884278","N_Shelf","FOXN3;FOXN3","NM_005197;NM_001085471","Body;Body"
"adipose","cg10746936",0.323,0.314,0.01,0.098,"chr14",95240143,"+","I","chr14:95240083-95240341","Island","","",""
"adipose","cg18674234",0.454,0.465,0.016,0.128,"chr14",78107677,"-","I","chr14:78108170-78108662","N_Shore","","",""
"adipose","cg19870698",0.217,0.216,0.007,0.081,"chr14",95239570,"+","I","chr14:95239375-95239679","Island","","",""
"adipose","cg00154122",0.073,0.107,0.01,0.098,"chr15",83418952,"-","I","chr15:83419022-83419592","N_Shore","","",""
"adipose","cg06316897",0.743,0.758,0.01,0.101,"chr15",65602323,"+","I","","OpenSea","","",""
"adipose","cg07580591",0.129,0.161,0.009,0.094,"chr15",68851466,"-","I","chr15:68851826-68852208","N_Shore","","",""
"adipose","cg16049391",0.491,0.484,0.014,0.117,"chr15",83954395,"-","I","chr15:83951980-83953930","S_Shore","BNC1","NM_001717","TSS1500"
"adipose","cg16086130",0.291,0.295,0.008,0.088,"chr15",101419275,"-","I","chr15:101419261-101421133","Island","ALDH1A3","NM_000693","TSS1500"
"adipose","cg00078759",0.708,0.704,0.013,0.114,"chr16",1600969,"-","I","chr16:1598952-1599157","S_Shore","IFT140;TMEM204","NM_014714;NM_024600","Body;Body"
"adipose","cg06797385",0.546,0.568,0.013,0.113,"chr16",30018105,"+","I","","OpenSea","DOC2A","NM_003586","Body"
"adipose","cg08199953",0.308,0.319,0.008,0.091,"chr16",51183473,"-","I","chr16:51183699-51188763","N_Shore","SALL1;SALL1","NM_002968;NM_001127892","Body;5'UTR"
"adipose","cg08214329",0.701,0.709,0.009,0.092,"chr16",1599072,"+","I","chr16:1598952-1599157","Island","IFT140;TMEM204","NM_014714;NM_024600","Body;Body"
"adipose","cg08545287",0.063,0.089,0.007,0.081,"chr16",6069047,"+","I","chr16:6068914-6070401","Island","A2BP1;A2BP1","NM_018723;NM_001142333","TSS200;TSS200"
"adipose","cg09534489",0.836,0.828,0.007,0.085,"chr16",1609908,"-","I","","OpenSea","IFT140","NM_014714","Body"
"adipose","cg10334323",0.675,0.688,0.009,0.095,"chr16",85945517,"+","I","","OpenSea","IRF8","NM_002163","Body"
"adipose","cg00125306",0.084,0.111,0.007,0.082,"chr17",77811842,"-","I","chr17:77812016-77812276","N_Shore","CBX4","NM_003655","Body"
